epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,112.913,1.20678,1.2249,1.33181,0.84444,0.9065,0.90841,0.61264,1.37385,1.62297,1.81601,0.00038375,0.00038375,0.00038375
72,114.311,1.14154,1.18273,1.33856,0.87718,0.88425,0.90652,0.60645,1.41264,1.52888,1.85236,0.000371375,0.000371375,0.000371375
73,115.694,1.24541,1.24688,1.32488,0.88384,0.90434,0.90364,0.60153,1.41101,1.4381,1.84707,0.000359,0.000359,0.000359
74,117.093,1.21171,1.19412,1.28905,0.8608,0.92368,0.90928,0.61154,1.36149,1.39139,1.79877,0.000346625,0.000346625,0.000346625
75,118.48,1.19731,1.1544,1.32748,0.86268,0.90939,0.91362,0.62289,1.34034,1.36955,1.77874,0.00033425,0.00033425,0.00033425
76,119.867,1.16679,1.19177,1.30609,0.8294,0.93931,0.9166,0.62875,1.31621,1.34438,1.75009,0.000321875,0.000321875,0.000321875
77,121.272,1.11084,1.1379,1.30667,0.87621,0.89168,0.92668,0.62331,1.30183,1.33458,1.71805,0.0003095,0.0003095,0.0003095
78,125.331,1.10753,1.10405,1.2726,0.86374,0.89588,0.92809,0.63915,1.30687,1.33172,1.71167,0.000297125,0.000297125,0.000297125
79,126.765,1.21262,1.20953,1.36046,0.88361,0.9081,0.9412,0.63122,1.31347,1.33316,1.70639,0.00028475,0.00028475,0.00028475
80,128.164,1.1011,1.17045,1.29833,0.88568,0.89613,0.94762,0.62928,1.31349,1.34852,1.69868,0.000272375,0.000272375,0.000272375
81,129.577,1.12434,1.17591,1.30222,0.88843,0.86989,0.92495,0.61031,1.28822,1.34738,1.66598,0.00026,0.00026,0.00026
82,131.016,1.16374,1.14928,1.24626,0.88847,0.86997,0.91922,0.61881,1.26283,1.32838,1.64435,0.000247625,0.000247625,0.000247625
83,132.461,1.09093,1.21764,1.30387,0.8869,0.87064,0.90582,0.6269,1.24093,1.33442,1.62538,0.00023525,0.00023525,0.00023525
84,133.905,1.09052,1.06452,1.25154,0.88028,0.8598,0.90109,0.63613,1.23118,1.36659,1.61525,0.000222875,0.000222875,0.000222875
85,135.306,1.09948,1.10595,1.26875,0.88458,0.86893,0.90445,0.63858,1.21879,1.37533,1.60617,0.0002105,0.0002105,0.0002105
86,136.707,1.11967,1.09143,1.2896,0.86641,0.88665,0.9094,0.6403,1.20244,1.3624,1.60382,0.000198125,0.000198125,0.000198125
87,138.111,1.02759,1.11927,1.28134,0.87997,0.8598,0.90967,0.63994,1.22395,1.35635,1.62274,0.00018575,0.00018575,0.00018575
88,139.507,1.17228,1.12559,1.27261,0.88434,0.8598,0.90557,0.63717,1.24651,1.35505,1.64851,0.000173375,0.000173375,0.000173375
89,140.903,1.11141,1.09486,1.26327,0.88206,0.8598,0.89422,0.61793,1.27366,1.36404,1.67805,0.000161,0.000161,0.000161
90,142.303,1.08658,1.18767,1.29904,0.89115,0.85865,0.8936,0.61482,1.27136,1.38419,1.6905,0.000148625,0.000148625,0.000148625
91,143.975,1.08986,1.20415,1.32497,0.89998,0.85094,0.89549,0.61854,1.25731,1.39238,1.68904,0.00013625,0.00013625,0.00013625
92,145.385,1.11328,1.31376,1.42922,0.90278,0.84984,0.89789,0.62844,1.2549,1.40001,1.68521,0.000123875,0.000123875,0.000123875
93,146.824,1.01824,1.10868,1.29705,0.89239,0.8451,0.90485,0.63043,1.25608,1.40446,1.68676,0.0001115,0.0001115,0.0001115
94,148.225,1.02667,1.19389,1.28451,0.88533,0.8451,0.90754,0.62987,1.26197,1.40237,1.68616,9.9125e-05,9.9125e-05,9.9125e-05
95,149.611,0.97637,1.09933,1.3297,0.87988,0.8451,0.91108,0.61819,1.25869,1.40112,1.67992,8.675e-05,8.675e-05,8.675e-05
96,151.005,0.96876,1.11587,1.25481,0.8601,0.8451,0.90727,0.61448,1.25687,1.40467,1.67887,7.4375e-05,7.4375e-05,7.4375e-05
97,152.398,1.04557,1.13672,1.28209,0.85997,0.8451,0.90842,0.61663,1.25185,1.40041,1.67305,6.2e-05,6.2e-05,6.2e-05
98,153.812,0.96643,1.2473,1.34173,0.84884,0.86295,0.90639,0.62257,1.24977,1.40712,1.67335,4.9625e-05,4.9625e-05,4.9625e-05
99,155.251,1.02421,1.18898,1.3542,0.84867,0.86299,0.91032,0.62783,1.24815,1.39532,1.67071,3.725e-05,3.725e-05,3.725e-05
100,156.69,0.98674,1.01571,1.21013,0.84763,0.86324,0.92278,0.63305,1.24629,1.413,1.67031,2.4875e-05,2.4875e-05,2.4875e-05
